id,question,example_1,example_2,answer
119,"請你提供這個在於香港其他的餐廳的描述: The Steak House, 這是一間扒房餐廳。",Restaurant 1: Carna by Dario Cecchini // Description: 餐廳位於精品酒店高層，落地窗帶來開闊視野，幾乎每個位置都可以欣賞到維港的迷人景色。Dario Cecchini為意大利著名的肉店店主，除了引入家鄉的肉品，也提供澳洲、美國、日本等地的牛扒，且遵從「從頭吃到尾」(Nose-to-Tail) 的烹調理念，將牛隻切割為18個部位。菜單上也有各種意式美食，酒單則涵蓋意大利多個產區的佳釀。,Restaurant 2: Beefbar // Description: 這家源自摩納哥的扒房裝潢亮眼，以白色雲石配搭黑色皮革，時尚有型。主要供應來自美國、澳洲、日本、韓國的頂級牛扒，無論是安格斯牛、和牛或神戶牛，不同部位都被烤至恰到好處。不要錯過大受歡迎的肋眼蓋，外層微微焦脆，內裏則軟嫩多汁。前菜選擇豐富，其中墨西哥卷餅和席前炮製的牛肉他他均美味可口。,位於重新開業的麗晶酒店內，採用落地玻璃和鏡面設計，可多角度飽覽維港景色。菜單網羅來自意大利、西班牙、韓國、日本、澳洲、美國等地的優質牛扒，也有由摩洛哥籍主廚處理的熟成牛扒，不妨向店員查詢。佐料方面，提供多款鹽品、醬汁和自家調製的芥末。此外，各式前菜、沙律、熟食冷肉、芝士等也琳瑯滿目。
120,"請你提供這個在於香港中環的餐廳的描述: 王府, 這是一間餃子餐廳。",,,王府扎根於威靈頓街多年，其北京水餃遠近馳名，多款餃子每天由人手新鮮包製。除了泡煮水餃外，店內亦有供應煎餃，餃子外皮煎至略帶焦脆，內餡仍保留着肉汁，份外味美。羊肉京葱餃和花素餃不容錯過，各款涼菜小吃亦別具京川風味。別忘了留意店家的是日精選，當中或會有一些新口味。
121,"請你提供這個在於香港上環的餐廳的描述: 摩, 這是一間創新菜餐廳。",Restaurant 1: 旅 // Description: 日籍大廚佐藤秀明將「純粹、簡約、時令」奉為其烹調信條，同時樂於嘗試不同的烹調技巧及食材配搭。其創作糅合了法式烹調手法和來自日本的時令頂級食材，菜式的質感和味道皆別樹一幟，滋味非凡。從每天新鮮製作的發酵奶油及酸種麵包，以至配搭的亞洲餐酒及日本清酒，處處精彩，叫人回味難忘。,Restaurant 2: 永 // Description: 採主廚名字其中一字的中、英文拼湊成餐廳標誌，正反映其中、西交融的核心概念。套餐運用了大量本地及中式食材，以歐陸式烹調手法呈現中菜精髓。當中不乏創新配搭，也有經重新演繹的主廚經典創作。餐廳於每晚零時零分開放一個月後新一天的訂座，若想一試主廚手藝，務必準時登入網頁預約。,選址滿佈特色古玩小店的摩羅街，餐廳名字亦與之呼應。室內裝潢以米色為主調，並大量採用弧形設計，整體氣氛舒適和諧。料理則以黃豆為中心，廣泛使用豆瓣、腐皮、豆漿、豆豉等各種黃豆製品，糅合歐陸烹調技巧，呈現風味獨特、質感豐富的菜式。菜單隨季節變更，當中，麻婆豆腐是這裏的標誌菜式。
122,"請你提供這個在於香港其他的餐廳的描述: 台蔡滷肉飯 (荃灣), 這是一間台灣菜餐廳。",Restaurant 1: 阿元來了 (西環) // Description: 創辦人來自台灣，部分材料由家鄉直送，以保持菜品的原汁原味。餐廳裝潢也充滿台灣元素，讓人恍如置身在當地夜市。招牌菜阿元魯肉飯香氣十足，手切滷肉肥而不膩。雙蛋蚵仔煎採用傳統做法，蛋香十足且口感煙韌。蒜泥白肉酸辣開胃，也值得一試。提供數十款台式飲品，餐後來一碗九份芋圓再滋味不過。,,來自台灣的老闆兼主廚，決心開店與客人分享家鄉風味。每日鮮製的招牌滷肉飯，手切豬腩肉肥瘦相間，作法偏向台灣北部風味，提供四種不同的配料組合，並可選配溫泉蛋或溏心蛋。同時供應經典麵食和夜市小吃，其中現點現炸的九層塔鹽酥雞，肉汁豐盈、皮脆肉嫩。店面小巧舒適，門前常見人龍，建議提早前往。
123,"請你提供這個在於香港尖沙咀的餐廳的描述: 彤福軒, 這是一間順德菜餐廳。",Restaurant 1: 鳳城 (北角) // Description: 作為香港著名的順德菜館，仍保留傳統茶樓的龍鳳禮堂，吸引不少外地客人前來感受舊時風味。早午市供應點心和小菜，推薦皮脆肉嫩的招牌炸子雞，還有每次一出場就被搶空的沙翁，但只在週末供應。傳統菜式選擇豐富，而且分量十足，建議與親朋好友一同分享。部分菜式須預訂，不妨預早查詢。,Restaurant 2: 頤東 // Description: 前旺角鳳城酒家於2019年因東主退休而結業，後由新老闆接手，並改名為「頤東」重新開業。餐廳內部經過翻新，用餐環境舒適。新東主沿用大部分舊有廚房班底，延續傳統順德菜手藝。招牌菜鴻運乳豬、炸子雞和蝦多士等依舊美味。大良炒鮮奶口感順滑、充滿奶香；順德魚肚羹則用料十足，充滿傳統風味。,以現代順德菜為主，如生拆鮮魚羹、魚塘公煎焗魚嘴。餐廳對食材非常講究，使用本地優質材料，包括海釣船的海鮮、本地農場的蔬菜和香料，就連竹蒸籠，也是本地老店的出品。不妨一邊享用美食，一邊欣賞維多利亞港景色。但要注意晚餐時段設有服裝要求，最好預先查詢。
124,"請你提供這個在於香港天后的餐廳的描述: 華姐清湯腩, 這是一間麵食餐廳。",Restaurant 1: 好到底 // Description: 於1946年開業，這家老字號麵家至今仍堅持於自設工場製麵。樓高兩層的店舖內是濃濃的懷舊氣息。雲吞非試不可；除了受食客歡迎的蝦籽撈麵和特製魚皮水餃，炸醬麵和牛腩麵同樣美味。若肚皮仍有空間，香甜的蝦籽蘿蔔亦值得細味！店主同時在市區設立多個銷售店，出售自製乾麵及蝦籽。,Restaurant 2: 九記 // Description: 開業於三十年代的九記深得食客支持，每天自十二時起，即使店舖還未正式營業，來自世界各地的食客都已整裝待發在門外輪候，午膳時間尤其擠擁。店內陳設簡單，進餐時要和其他人共用餐桌。歷久不衰的食物當然要數清湯牛腩，而咖喱牛腩亦不乏老饕捧場，配上更能掛湯的伊府麵，滋味無窮。,家庭式經營的小店，現由華姐大兒子主理，招待工作則由弟弟打點。他們每天均會用上逾百斤肉味香濃的本地新鮮牛腩，從早上起燜煮招牌牛腩；清湯底則以十多種香料秘製，每個工序都一絲不苟，難怪每天一開店就吸引了不少食客光顧。除了清湯牛坑腩，也不要錯過菜肉雲吞、腩汁蘿蔔及以白滷水浸上幾小時的醉雞。
125,"請你提供這個在於香港深水埗的餐廳的描述: 公和荳品廠, 這是一間街頭小吃餐廳。",Restaurant 2: 品味 // Description: 這外賣店由居港多年的越南店主開設，主打越式法包，提供五款配料組合，如越南進口的扎肉、肥瘦相間的叉燒等，法包每日新鮮烘焙，口味地道。另有撈檬和越南咖啡供應。,,供應豆漿、豆腐花及煎釀豆腐、黃金魚腐等各類豆製品，產品皆來自自設工場，豆味濃郁，其中以豆腐花最為馳名。
126,"請你提供這個在於香港灣仔的餐廳的描述: 甬府, 這是一間寧波菜餐廳。",,,為集團於香港開設的首家分店，高聳樓底配上水晶燈和玻璃魚形裝飾，像在海洋中熠熠生輝。主打東海海鮮，大多從寧波每天新鮮運抵，配搭本地上乘食材，炮製出富傳統風味的寧波菜。菜單上可見工序繁複的手工菜式，推薦招牌菜十八斬，以秘製醬汁醃製，肉質鮮甜，蟹膏豐膄。設最低消費，宜先查詢並預訂菜式。
127,"請你提供這個在於香港中環的餐廳的描述: 正斗粥麵專家 (中環), 這是一間粥麵餐廳。",Restaurant 1: 靠得住 (灣仔) // Description: 於灣仔扎根多年，靠得住的出品一如其名，從不令人失望。其粥品與別不同之處，乃採用魚湯作粥底，味道鮮美。粥品配料選擇繁多，特別推薦心肝寶貝粥。同時也供應多元化的食品，其中鹹肉粽、爽脆鯇魚皮和炸雲吞也值得一試。精選套餐更有不同的配搭。餐室簡潔光亮而舒適。,Restaurant 2: 何洪記 (銅鑼灣) // Description: 何洪記是香港歷史悠久的麵家之一，自四十年代起在灣仔區營業，多年來其招牌雲吞麵憑着麵條彈牙、湯底鮮甜而口碑載道；其粥品也很出色。遷至商場後，設計變得時尚，座位也更舒適，但重視食品質素的經營方針始終不變，更增加了食物種類，除粥麵外，還供應點心和廣式小菜，難怪吸引到不少客人到此用膳。,坐落於機鐵站上蓋，這家粥麵店每天接待逾千個顧客，當中大部分是在附近工作的上班族，繁忙時間到訪，便要有排隊久候和拼桌的準備。店內的招牌鮮蝦雲吞麵和乾炒牛河都是受歡迎之選。此外，生猛大蝦粥亦值得一試；若喜歡一盅兩件，餐廳亦供應多款點心。有別於傳統粥麵店，室內設計時尚舒適。
128,"請你提供這個在於香港尖沙咀的餐廳的描述: 麗晶軒, 這是一間粵菜餐廳。",Restaurant 1: 農圃 // Description: 餐廳裝潢時尚，巨型水族箱延伸整道牆，引人注目。菜單以傳統手工菜為主，選用各式高級海味乾貨入饌，包括鮑魚、海參等處理工序繁複的食材，所炮製的優質粵菜一直深受客人愛戴。著名菜式包括古法糯米雞翼、鵝肝焗釀響螺和瑤柱鮑魚雞粒飯，皆值得一試。配合細心周到的服務團隊，令用餐體驗更稱心滿意。,Restaurant 2: 彭慶記 // Description: 彭慶記開業至今已跨越廿多個年頭，現由第二代接手經營，依舊以懷舊手工粵菜作招徠，傳承經典滋味傳承。除了招牌生炒糯米飯及太史五蛇羹，加入臘腸的缽仔焗魚腸亦值得一試，油香以外還有淡淡的玫瑰露香氣，令人印象深刻。限量的薑葱魚鏢煲採用大魚下巴烹煮，也是不可錯過的菜式。座位數量不多，建議提前訂座。,所在的酒店完成翻新，欣圖軒於2022年底改名為「麗晶軒」，並將入口遷回酒店大堂。裝潢以玉石為主題，精緻華美，遠眺窗外，更能細賞維港及香港島的美景。廚師團隊經驗豐富，他們以扎實技巧和上乘食材，製作出一道道傳統粵式佳餚。除了脆皮龍崗雞、脆釀鮮蟹蓋等經典菜式，午市點心同樣值得一試。
129,"請你提供這個在於香港中環的餐廳的描述: 鮨．齋藤, 這是一間壽司餐廳。",Restaurant 1: 志魂 // Description: 由著名室內設計師、木材及陶瓷職人聯手，雕琢出精緻的用餐環境。料理長柿沼先生十分重視料理的細節，他尤其擅長以熟成技巧處理魚料，如在熟成過程中加入不同的酒盜以作提味；米飯則選用來自京都、經特別混合的新米，以加強香味、甜度和幼滑度，配合兩種熟成四年的醋，令整體味道更臻極致。,,餐廳由日本大廚齋藤孝司監督，雖已開業逾年，但人氣持續高企，經常一位難求。要成功入座，必須在特定日子致電訂座熱線。成功訂座的幸運兒，才有機會於柏木製造的壽司枱前就座。廚師以秋田及長野的米混合煮成壽司飯，結合頂級時令海產、鹿兒島泉水和特製醬醋製作壽司，每一件都值得細味品嘗。
130,"請你提供這個在於香港天后的餐廳的描述: 鑄·鐵板燒, 這是一間鐵板燒餐廳。",,,遷到現址後空間更為寬敞，設有大型鐵板桌及可容納多人的廂房。大部分食材均為當天空運到港，包括來自日本的海膽、活鮑魚及法國的藍龍蝦。萬勿錯過甘鯛魚配海膽忌廉汁：魚鱗炸至香脆，魚肉卻保持鮮嫩，十分可口。晚市提供品嘗菜單及廚師發辦套餐，午市則有較經濟實惠的套餐。亦設有配酒服務。
131,"請你提供這個在於香港西營盤的餐廳的描述: 英記麵家, 這是一間麵食餐廳。",Restaurant 1: 華姐清湯腩 // Description: 家庭式經營的小店，現由華姐大兒子主理，招待工作則由弟弟打點。他們每天均會用上逾百斤肉味香濃的本地新鮮牛腩，從早上起燜煮招牌牛腩；清湯底則以十多種香料秘製，每個工序都一絲不苟，難怪每天一開店就吸引了不少食客光顧。除了清湯牛坑腩，也不要錯過菜肉雲吞、腩汁蘿蔔及以白滷水浸上幾小時的醉雞。,Restaurant 2: 好到底 // Description: 於1946年開業，這家老字號麵家至今仍堅持於自設工場製麵。樓高兩層的店舖內是濃濃的懷舊氣息。雲吞非試不可；除了受食客歡迎的蝦籽撈麵和特製魚皮水餃，炸醬麵和牛腩麵同樣美味。若肚皮仍有空間，香甜的蝦籽蘿蔔亦值得細味！店主同時在市區設立多個銷售店，出售自製乾麵及蝦籽。,英記於1994年開業，憑着充滿住家風味的潮式和廣東麵食而深受歡迎，經常座無虛席。招牌牛腩以牛坑腩製作，每天晚上就開始燜煮，以滷水浸泡過夜後，開店前再燜煮，是以軟腍入味。叉燒選用肥瘦分佈均勻的脢頭肉和豬頸肉焗製，吃起來肉爽且多汁。此外，亦推薦淨牛腩、叉燒湯麵和炸雲吞。
132,"請你提供這個在於香港北角的餐廳的描述: 魚事者 (北角), 這是一間街頭小吃餐廳。",Restaurant 1: 魚蛋佬 (土瓜灣) // Description: 主打魚蛋、燒賣、腸粉等地道小食，價格親民。招牌白魚蛋每日限量供應，以恰好比例混合多種海魚和麵粉製成，既爽口彈牙，又帶魚肉鮮味。建議以辣椒油佐吃，更為惹味。,,提供以魚為主題的創新小食：以魚皮模仿墨西哥玉米片，配搭自製牛油果醬和番茄莎莎醬，味道豐富；泰式蝦頭油炸蝦球魚麵撈、炸魚無薯條充滿香氣；晚間才供應的魚米粒粒則製成意大利飯模樣，彈牙好吃。
133,"請你提供這個在於香港中環的餐廳的描述: 龍景軒, 這是一間粵菜餐廳。",Restaurant 1: 聚興家 // Description: 此店為許多影視名人和酒店大廚的飯堂，即使曾經擴充，仍然經常客滿，請務必訂座。翻開餐牌，可以看到各式各樣的廣東小炒，還有為嗜辣客人而設的精選川菜。推薦用新鮮文昌雞炮製的鹽焗雞，肉嫩皮爽，鹹香惹味，為免撲空，建議於訂座時預留。同時供應多款生猛海鮮，豉汁蒸白鱔、豉油皇大蝦、焗奄仔蟹等應有盡有。,Restaurant 2: 富豪 // Description: 雖然位於商場內不顯眼位置，富豪多年來依然屹立不倒，足證正宗而不花巧的粵菜自有引人入勝之處。掌勺二十多年的廚師一直堅持用心烹煮傳統菜式，招牌菜阿翁鮑魚採用自家調製的鮑汁燜煮近二十小時，製作需時且考功夫；薑葱煎鹽香雞和方魚炒芥蘭亦值得一試；以砂鍋烹調的富豪炒飯更是不容錯過。,坐擁維港美景，餐廳從世界各地搜羅優質食材，為傳統粵菜注入不一樣的元素，加上出色的烹調手法，令其一直深受粵菜愛好者歡迎。除了主菜單，亦因應時令供應當季菜式。各款燉湯用料豐富，不容錯過；若於午市到訪，不妨試試精美的點心。侍酒師會為客人提供餐酒建議，不嗜酒的朋友也不乏茶品選擇，當中包括有機凍汽茶。
134,"請你提供這個在於香港中環的餐廳的描述: Whey, 這是一間歐陸菜餐廳。",Restaurant 1: Roganic // Description: 英國大廚Simon Rogan的首家海外同名餐廳，崇尚自然有機，不單裝潢綠意盎然，更提倡產地直送概念，大量選用新界農場的有機食材，並在店內栽種各式微型菜苗。午市套餐價格相宜，另有九道菜及十二道菜的嘗味套餐，菜式看似簡單但滋味滿溢。客人更可以在吧檯享用甜品以及時令雞尾酒，並設有無酒精餐飲配對。,Restaurant 2: Cafe Bau // Description: 由大廚梁經倫監督的新餐廳，以香港老照片作裝飾，佈局有如舊式小酒館，加上衣著優雅的服務員貼心接待，氣氛舒適自在。三道菜套餐走經典路線，如想嘗試以現代烹飪手法詮釋的菜品，不妨選擇八道菜套餐。菜式中大量採用本地食材，例如來自流浮山的蠔、本地蔬果和醬料等。客人可在吧檯用餐，品嘗特調的雞尾酒。,乳清是芝士製造過程中的副產品，餐廳以「Whey」命名，表明其物盡其用、支持可持續發展的決心。來自新加坡的主廚採用本地時令食材和有機農作物，把家鄉特色融入當代歐陸菜式之中。品嘗菜單滿載新加坡風味，招牌法式麵包配黑果醬令人回味，貓山王榴槤雪糕更是主廚的自傲之作，巧妙配搭魚子醬，為味蕾帶來驚喜。
135,"請你提供這個在於香港灣仔的餐廳的描述: Auor, 這是一間歐陸菜餐廳。",Restaurant 1: 文華扒房+酒吧 // Description: 餐室由已故名家Sir Terence Conran設計，優雅而明亮，天花上的扇形圖案呼應着酒店的標誌，充滿巧思。供應多款來自美國、澳洲和日本、以木炭燒烤的優質肉品，同時有牛肉他他、煙三文魚等經典歐陸美食。食客亦可從菜單中選取前菜和甜品配搭扒類，組合成三或四道菜的套餐。,Restaurant 2: Roganic // Description: 英國大廚Simon Rogan的首家海外同名餐廳，崇尚自然有機，不單裝潢綠意盎然，更提倡產地直送概念，大量選用新界農場的有機食材，並在店內栽種各式微型菜苗。午市套餐價格相宜，另有九道菜及十二道菜的嘗味套餐，菜式看似簡單但滋味滿溢。客人更可以在吧檯享用甜品以及時令雞尾酒，並設有無酒精餐飲配對。,新加坡主廚堅持親自製作每道佳餚，巧妙地融合歐陸菜式及亞洲精髓，同時不忘加入其家鄉元素。採用世界各地的時令食材，晚市菜單內容隨四季更迭，表達對生命循環不息的讚頌；午市菜單每月變更，風格相對輕鬆隨意。青咖喱龍蝦為主廚得意之作。用餐環境舒適，葡萄酒種類齊全，加上親切友善的服務，令人感到賓至如歸。
136,"請你提供這個在於香港中環的餐廳的描述: Cristal Room by Anne-Sophie Pic, 這是一間法國菜餐廳。",Restaurant 1: Caprice // Description: 古典優雅的裝潢富有格調，佐以醉人海景及貼心專業的服務，令用餐體驗盡善盡美。不妨先到酒吧呷杯雞尾酒，再享用各種法式美食。午膳提供四或五道菜的套餐，晚膳則有兩款各七道菜的菜單供選擇。不論何時到訪，都能體驗到廚師將高級食材發揮到極致的精湛烹調技巧。芝士和餐酒的選擇極為豐富，同樣不容錯過。,Restaurant 2: Belon // Description: 搬遷後一改以往的小酒館風格，裝潢更加亮麗高檔。主廚擅於以法式烹調技巧料理本地時令食材，他不僅重新構思餐廳的經典菜餚，更推出多款全新菜式。廚房前設四人吧檯座位，讓食客一邊欣賞烹調過程，一邊享用包含餐酒配搭的精選四人菜單，惟須預約。單點菜單則提供烤全雞等招牌菜，適合多人分享。,法籍主廚Anne-Sophie Pic於亞洲開設的第二家餐廳，室內裝潢高雅華麗，入口處的水晶吊燈宏偉而閃亮，引人注目。開放式廚房加上鑲設鏡面的天花，大大提升空間感。晚市提供六或八道菜的套餐，當中包括主廚的首本名菜，取用日本食材並且融合當地元素，創造出豐富細膩的味道。此外，客人可在甜品區享用美味茶點。
137,"請你提供這個在於香港中環的餐廳的描述: 廣尾內津, 這是一間天婦羅餐廳。",Restaurant 1: 一宝 // Description: 大廚兼東主是這家餐館的第五代傳人，時令的日本海產從大阪和東京豐洲市場空運抵達，放入輕純的紅花油中以明火烹調，並配上每天鮮製的醬汁佐吃。水準多年來始終如一，除因為規模不大有助保持穩定，亦因為大廚堅持親自烹調每件天婦羅。建議點選廚師套餐，可盡嘗最時令的食材。惟座位不多，須提前訂座。,,裝潢採用傳統日式風格，木製桌椅營造出柔和溫暖的感覺，板前座位更面向按季節轉換的綠色生態缸，加倍閒適。提供以海鮮為主的天婦羅套餐，選取逾十款來自日本的當造食材，當中包括分量充裕的海膽以及當季鮮蝦，並以日本棉籽油與芝麻油烹調。晚市提供具有香港特色、以米紙包裹燕窩的炸物，值得一試。
138,"請你提供這個在於香港北角的餐廳的描述: 鳳城 (北角), 這是一間順德菜餐廳。",Restaurant 1: 彤福軒 // Description: 以現代順德菜為主，如生拆鮮魚羹、魚塘公煎焗魚嘴。餐廳對食材非常講究，使用本地優質材料，包括海釣船的海鮮、本地農場的蔬菜和香料，就連竹蒸籠，也是本地老店的出品。不妨一邊享用美食，一邊欣賞維多利亞港景色。但要注意晚餐時段設有服裝要求，最好預先查詢。,Restaurant 2: 頤東 // Description: 前旺角鳳城酒家於2019年因東主退休而結業，後由新老闆接手，並改名為「頤東」重新開業。餐廳內部經過翻新，用餐環境舒適。新東主沿用大部分舊有廚房班底，延續傳統順德菜手藝。招牌菜鴻運乳豬、炸子雞和蝦多士等依舊美味。大良炒鮮奶口感順滑、充滿奶香；順德魚肚羹則用料十足，充滿傳統風味。,作為香港著名的順德菜館，仍保留傳統茶樓的龍鳳禮堂，吸引不少外地客人前來感受舊時風味。早午市供應點心和小菜，推薦皮脆肉嫩的招牌炸子雞，還有每次一出場就被搶空的沙翁，但只在週末供應。傳統菜式選擇豐富，而且分量十足，建議與親朋好友一同分享。部分菜式須預訂，不妨預早查詢。
139,"請你提供這個在於香港土瓜灣的餐廳的描述: 魚蛋佬 (土瓜灣), 這是一間街頭小吃餐廳。",Restaurant 1: 兩姊妹涼皮有限公司 (旺角) // Description: 2023年底遷至旺角後，加設堂食座位，繼續提供多款川味小吃。招牌涼皮冰涼透心，配搭青瓜絲、芫荽、花生碎及秘制辣醋，香辣可口，更可自選辣度，愛花椒者不妨選擇多麻。脆辣蓮藕丁也大受歡迎。,,主打魚蛋、燒賣、腸粉等地道小食，價格親民。招牌白魚蛋每日限量供應，以恰好比例混合多種海魚和麵粉製成，既爽口彈牙，又帶魚肉鮮味。建議以辣椒油佐吃，更為惹味。
140,"請你提供這個在於香港尖沙咀的餐廳的描述: Carna by Dario Cecchini, 這是一間扒房餐廳。",Restaurant 1: The Steak House // Description: 位於重新開業的麗晶酒店內，採用落地玻璃和鏡面設計，可多角度飽覽維港景色。菜單網羅來自意大利、西班牙、韓國、日本、澳洲、美國等地的優質牛扒，也有由摩洛哥籍主廚處理的熟成牛扒，不妨向店員查詢。佐料方面，提供多款鹽品、醬汁和自家調製的芥末。此外，各式前菜、沙律、熟食冷肉、芝士等也琳瑯滿目。,Restaurant 2: Beefbar // Description: 這家源自摩納哥的扒房裝潢亮眼，以白色雲石配搭黑色皮革，時尚有型。主要供應來自美國、澳洲、日本、韓國的頂級牛扒，無論是安格斯牛、和牛或神戶牛，不同部位都被烤至恰到好處。不要錯過大受歡迎的肋眼蓋，外層微微焦脆，內裏則軟嫩多汁。前菜選擇豐富，其中墨西哥卷餅和席前炮製的牛肉他他均美味可口。,餐廳位於精品酒店高層，落地窗帶來開闊視野，幾乎每個位置都可以欣賞到維港的迷人景色。Dario Cecchini為意大利著名的肉店店主，除了引入家鄉的肉品，也提供澳洲、美國、日本等地的牛扒，且遵從「從頭吃到尾」(Nose-to-Tail) 的烹調理念，將牛隻切割為18個部位。菜單上也有各種意式美食，酒單則涵蓋意大利多個產區的佳釀。
141,"請你提供這個在於香港中環的餐廳的描述: 都爹利會館, 這是一間粵菜餐廳。",Restaurant 1: 聚興家 // Description: 此店為許多影視名人和酒店大廚的飯堂，即使曾經擴充，仍然經常客滿，請務必訂座。翻開餐牌，可以看到各式各樣的廣東小炒，還有為嗜辣客人而設的精選川菜。推薦用新鮮文昌雞炮製的鹽焗雞，肉嫩皮爽，鹹香惹味，為免撲空，建議於訂座時預留。同時供應多款生猛海鮮，豉汁蒸白鱔、豉油皇大蝦、焗奄仔蟹等應有盡有。,Restaurant 2: 星記 // Description: 星記是中環區難得一見的粵式小菜館，以扎實的烹調技巧及新鮮食材見稱。以大廚名字命名的輝哥煎咸雞肉質嫩滑又惹味，值得一試。金榜醬戈巴焗大花蝦則鮮味十足，咸香的醬汁更可沾鍋巴來吃，十分香口。另建議預訂燉湯如杏汁花膠燉豬肺。餐廳於午市提供一系列價格實惠的小菜，甚受上班族歡迎。,廚師團隊選用高級食材，炮製出精緻粵菜。鮮蟹肉桂花炒蝦絲透出馥郁鮮香，炒開的雞蛋金黃如桂花，配搭清脆的銀芽，是這裏的招牌菜。都爹利吊炸雞經過近三百次反覆油淋，外皮薄脆，肉質嫩滑入味，充滿油脂香氣，建議提前預留。室內佈置令人恍若置身於藝術館，也會定期舉行藝術展覽，用餐體驗更為豐富。
142,"請你提供這個在於香港北角的餐廳的描述: 古月, 這是一間星馬菜餐廳。",,,地點比較隱蔽，從書局街進入方能到達。餐廳提供星、馬美食，牆上畫有富當地特色的卡通繪畫，趣味盎然。餐單貴精不貴多，當中多是香港少見，甚至首家供應的菜式。馬來西亞板麵配搭自製辣椒乾食用，非常惹味。另外，標榜不含味精、湯底以胡椒和生蒜製作的新加坡肉骨茶可以無限添飲，定能滿足客人胃口。
143,"請你提供這個在於香港元朗的餐廳的描述: 大榮華, 這是一間粵菜餐廳。",Restaurant 1: 御寶軒 (尖沙咀) // Description: 御寶軒在香港的首家分店選址在九龍半島地標北京道一號，坐擁無敵維港兩岸景色，加上時尚中帶點中國風的設計－－水泥牆上的立體陶瓷鯉魚和樑柱上的書法－－令人悠然神往！廚房內附設魚缸，每天都有鮮活的海鮮供應。脆米海鮮浸東星、糯米釀脆皮乳豬及胡椒炒蟹是招牌菜。,Restaurant 2: 唐閣 // Description: 開業逾三十年，各款粵式佳餚均由經驗豐富的廚房團隊主理，食物水準不言而喻，難怪能吸引食客再三前往。其北京片皮鴨、三葱爆龍蝦、釀焗鮮蟹蓋皆深受歡迎，用料十足的湯羹更加不容錯過。在等待美食的時候，不妨欣賞四周高雅的布藝裝飾、一絲不苟的餐桌佈置和一系列引人入勝的藝術品。,光顧大榮華是很多人長途跋涉來到元朗的主要原因。除了供應奶黃馬拉糕等點心，酒家還提供近百款圍村小菜及經典粵式名菜，如香茜燒米鴨、缽仔豬油頭抽撈飯及鹹水檸蒸烏頭，特別推介味濃而肉滑的圍頭五味雞。大廚亦會每月更新時令菜式。餐廳用上五彩繽紛的地氈、明亮的燈光和傳統裝飾，感覺煥然一新。
144,"請你提供這個在於香港中環的餐廳的描述: Amber, 這是一間法國菜餐廳。",Restaurant 1: Cristal Room by Anne-Sophie Pic // Description: 法籍主廚Anne-Sophie Pic於亞洲開設的第二家餐廳，室內裝潢高雅華麗，入口處的水晶吊燈宏偉而閃亮，引人注目。開放式廚房加上鑲設鏡面的天花，大大提升空間感。晚市提供六或八道菜的套餐，當中包括主廚的首本名菜，取用日本食材並且融合當地元素，創造出豐富細膩的味道。此外，客人可在甜品區享用美味茶點。,Restaurant 2: Caprice // Description: 古典優雅的裝潢富有格調，佐以醉人海景及貼心專業的服務，令用餐體驗盡善盡美。不妨先到酒吧呷杯雞尾酒，再享用各種法式美食。午膳提供四或五道菜的套餐，晚膳則有兩款各七道菜的菜單供選擇。不論何時到訪，都能體驗到廚師將高級食材發揮到極致的精湛烹調技巧。芝士和餐酒的選擇極為豐富，同樣不容錯過。,這典雅的餐廳以金色和米色為主調，加上名貴皮革座椅、淺色橡木餐桌等，盡顯奢華優雅。主廚以法國菜的技巧，配合各地進口的優質食材，設計出多款套餐。烹飪風格貼合現代飲食潮流：精緻、輕盈、低糖低鹽、不含麩質和奶製品，更提供素食選擇，滿足追求健康的客人。
145,"請你提供這個在於香港中環的餐廳的描述: 九記, 這是一間麵食餐廳。",Restaurant 1: 坤記竹昇麵 // Description: 店東秉承其家族在廣州的製麵方法，在工房經人手以傳統竹竿壓法每日新鮮打製，配方含大量雞蛋，並施以獨門的除鹼方法，製成的麵條彈牙爽口，啖啖蛋香全無鹼水味，配以自製的大地魚湯和蝦籽更是滋味無窮。推介鮮蝦雲吞麵和蝦籽蠔油撈麵。店家另有出售樽裝蝦籽、大地魚粉及竹昇蛋麵等。,Restaurant 2: 好到底 // Description: 於1946年開業，這家老字號麵家至今仍堅持於自設工場製麵。樓高兩層的店舖內是濃濃的懷舊氣息。雲吞非試不可；除了受食客歡迎的蝦籽撈麵和特製魚皮水餃，炸醬麵和牛腩麵同樣美味。若肚皮仍有空間，香甜的蝦籽蘿蔔亦值得細味！店主同時在市區設立多個銷售店，出售自製乾麵及蝦籽。,開業於三十年代的九記深得食客支持，每天自十二時起，即使店舖還未正式營業，來自世界各地的食客都已整裝待發在門外輪候，午膳時間尤其擠擁。店內陳設簡單，進餐時要和其他人共用餐桌。歷久不衰的食物當然要數清湯牛腩，而咖喱牛腩亦不乏老饕捧場，配上更能掛湯的伊府麵，滋味無窮。
